id,cityId,name
306,33,Klaten Selatan
307,41,Purwanegara
308,37,Padureso
309,42,Kroya
310,37,Buayan
311,38,Kedu
312,30,Purwokerto Timur
313,31,Mertoyudan
314,35,Talun
315,41,Pagentan
316,43,Tembalang
317,40,Boja
318,44,Mojosongo
319,43,Mijen
320,33,Trucuk
321,37,Mirit
322,43,Semarang Tengah
323,34,Gebang
324,43,Semarang Timur
325,40,Patean
326,41,Punggelan
327,33,Gantiwarno
328,33,Ceper
329,36,Bandungan
330,44,Cepogo
331,36,Ungaran Timur
332,33,Klaten Tengah
333,40,Ringinarum
334,40,Plantungan
335,44,Teras
336,38,Bansari
337,45,Jatinegara
338,38,Bulu
339,40,Weleri
340,38,Jumo
341,31,Srumbung
342,33,Jatinom
343,34,Purworejo
344,37,Bonorowo
345,35,Sragi
346,37,Kutowinangun
347,46,Tanggungharjo
348,44,Tamansari
349,38,Temanggung
350,44,Boyolali
351,34,Loano
352,43,Semarang Selatan
353,36,Kaliwungu
354,43,Pedurungan
355,43,Genuk
356,42,Gandrungmangu
357,42,Majenang
358,42,Cipari
359,45,Pagerbarang
360,35,Kesesi
361,40,Sukorejo
362,37,Prembun
363,45,Bumijawa
364,38,Gemawang
365,36,Susukan
366,36,Bergas
367,33,Tulung
368,31,Pakis
369,34,Grabag
370,31,Kaliangkrik
371,38,Ngadirejo
372,37,Petanahan
373,44,Musuk
374,34,Purwodadi
375,33,Manisrenggo
376,32,Bumiayu
377,42,Cimanggu
378,32,Tonjong
379,33,Bayat
380,31,Secang
381,33,Karanganom
382,31,Ngablak
383,44,Wonosamodro
384,31,Borobudur
385,47,Sapuran
386,31,Dukun
387,31,Tegalrejo
388,34,Kaligesing
389,44,Gladagsari
390,38,Selopampang
391,44,Sambi
392,36,Tuntang
393,38,Bejen
394,43,Ngaliyan
395,34,Pituruh
396,40,Ngampel
397,36,Ambarawa
398,44,Ampel
399,33,Polanharjo
400,31,Kajoran
401,31,Grabag
402,34,Bener
403,33,Ngawen
404,31,Windusari
405,33,Kalikotes
406,33,Karangnongko
407,38,Kandangan
408,43,Semarang Barat
409,31,Bandongan
410,33,Jogonalan
411,43,Banyumanik
412,40,Limbangan
413,43,Gunungpati
414,38,Pringsurat
415,38,Tretep
416,38,Parakan
417,31,Ngluwar
418,46,Kedungjati
419,36,Banyubiru
420,36,Getasan
421,38,Kranggan
422,48,Argomulyo
423,40,Kaliwungu
424,30,Patikraja
425,35,Paninggaran
426,30,Sumpiuh
427,42,Sampang
428,30,Kemranjen
429,42,Nusawungu
430,36,Tengaran
431,35,Kajen
432,36,Ungaran Barat
433,36,Bringin
434,37,Kuwarasan
435,36,Pabelan
436,30,Purwokerto Utara
437,32,Salem
438,33,Wedi
439,34,Kutoarjo
440,41,Purworeja Klampok
441,37,Karanggayam
442,37,Ambal
443,41,Pagedongan
444,41,Madukara
445,41,Wanayasa
446,40,Pageruyung
447,41,Karangkobar
448,38,Tlogomulyo
449,45,Balapulang
450,32,Paguyangan
451,42,Binangun
452,35,Karangdadap
453,34,Kemiri
454,30,Kalibagor
455,35,Kedungwuni
456,45,Slawi
457,45,Pangkah
458,34,Bruno
459,34,Banyuurip
460,45,Margasari
461,42,Wanareja
462,32,Ketanggungan
463,30,Baturraden
464,39,Guntur
465,40,Gemuh
466,42,Karangpucung
467,32,Larangan
468,41,Pandanarum
469,37,Klirong
470,43,Gayamsari
471,32,Bantarkawung
472,33,Kemalang
473,34,Butuh
474,41,Mandiraja
475,43,Semarang Utara
476,49,Magelang Tengah
477,37,Gombong
478,37,Karanganyar
479,42,Dayeuhluhur
480,38,Kledung
481,30,Banyumas
482,41,Banjarnegara
483,32,Banjarharjo
484,41,Banjarmangu
485,37,Ayah
486,30,Purwokerto Barat
487,41,Batur
488,38,Wonoboyo
489,42,Patimuan
490,45,Dukuhwaru
491,35,Karanganyar
492,40,Pegandon
493,41,Pejawaran
494,37,Pejagoan
495,41,Susukan
496,37,Sempor
497,34,Bayan
498,37,Adimulyo
499,36,Pringapus
500,41,Sigaluh
501,37,Karangsambung
502,45,Lebaksiu
503,35,Wonopringgo
504,40,Brangsong
505,44,Simo
506,45,Kedungbanteng
507,42,Sidareja
508,46,Tegowanu
509,33,Prambanan
510,30,Tambak
511,37,Puring
512,43,Gajahmungkur
513,30,Somagede
514,34,Bagelen
515,44,Karanggede
516,41,Rakit
517,40,Kaliwungu Selatan
518,41,Kalibening
519,36,Suruh
520,36,Bancak
521,47,Wadaslintang
522,6,Tamansari
523,3,Sukarame
524,2,Peundeuy
525,6,Purbaratu
526,10,Gedebage
527,8,Cimanggung
528,50,Kuningan
529,50,Ciwaru
530,50,Sindangagung
531,50,Selajambe
532,50,Subang
533,50,Cibingbin
534,50,Luragung
535,50,Lebakwangi
536,50,Cidahu
537,50,Cilebak
538,50,Maleber
539,50,Hantara
540,50,Ciawigebang
541,50,Cibeureum
542,50,Karang Kancana
543,50,Ciniru
544,50,Garawangi
545,50,Cimahi
546,50,Kalimanggis
547,50,Cipicung
548,50,Darma
549,50,Kadugede
550,50,Nusaherang
551,50,Cigugur
552,51,Cidaun
553,51,Sindangbarang
554,51,Naringgul
555,51,Agrabinta
556,51,Cikadu
557,51,Leles
558,51,Cibinong
559,51,Cijati
560,51,Tanggeung
561,51,Kadupandak
562,51,Pasirkuda
563,51,Pagelaran
564,51,Takokak
565,51,Sukanagara
566,51,Campakamulya
567,51,Campaka
568,51,Cibeber
569,52,Kertasari
570,52,Pangalengan
571,52,Rancabali
572,52,Pacet
573,52,Cimaung
574,52,Pasirjambu
575,52,Ibun
576,52,Ciwidey
577,52,Arjasari
578,52,Banjaran
579,52,Ciparay
580,52,Majalaya
581,52,Paseh
582,52,Cangkuang
583,52,Cikancung
584,52,Nagreg
585,52,Kutawaringin
586,52,Pameungpeuk
587,52,Katapang
588,52,Solokanjeruk
589,52,Cicalengka
590,52,Baleendah
591,52,Rancaekek
592,52,Bojongsoang
593,52,Margahayu
594,52,Dayeuhkolot
595,52,Margaasih
596,52,Soreang
597,53,Rajadesa
598,53,Lumbung
599,53,Panjalu
600,53,Cipaku
601,53,Cisaga
602,53,Panawangan
603,53,Pamarican
604,53,Panumbangan
605,53,Banjaranyar
606,53,Banjarsari
607,53,Purwadadi
608,53,Lakbok
609,53,Baregbeg
610,53,Jatinagara
611,53,Cimaragas
612,53,Sadananya
613,53,Ciamis
614,53,Rancah
615,53,Cijeungjing
616,53,Sindangkasih
617,53,Sukadana
618,53,Sukamantri
619,53,Cidolog
620,53,Cihaurbeuti
621,53,Cikoneng
622,53,Kawali
623,53,Tambaksari
624,54,Sedayu
625,55,Gondokusuman
626,56,Galur
627,56,Sentolo
628,54,Sewon
629,54,Kasihan
630,54,Banguntapan
631,56,Kalibawang
632,56,Samigaluh
633,54,Bantul
634,56,Nanggulan
635,55,Danurejan
636,54,Pleret
637,56,Wates
638,55,Tegalrejo
639,56,Panjatan
640,55,Mergangsan
641,55,Jetis
642,56,Lendah
643,54,Jetis
644,54,Pandak
645,56,Temon
646,54,Dlingo
647,54,Kretek
648,54,Sanden
649,55,Mantrijeron
650,56,Girimulyo
651,54,Imogiri
652,55,Umbulharjo
653,55,Pakualaman
654,54,Pajangan
655,56,Kokap
656,55,Kraton
657,56,Pengasih
658,54,Bambanglipuro
659,55,Ngampilan
660,55,Gondomanan
661,55,Wirobrajan
662,54,Pundong
663,54,Srandakan
664,55,Kotagede
665,55,Gedongtengen
666,54,Piyungan
667,57,Gamping
668,57,Cangkringan
669,58,Wonosari
670,58,Playen
671,57,Turi
672,58,Tanjungsari
673,57,Tempel
674,58,Patuk
675,58,Karangmojo
676,57,Ngemplak
677,57,Prambanan
678,57,Pakem
679,57,Sleman
680,57,Depok
681,57,Ngaglik
682,58,Purwosari
683,58,Panggang
684,58,Paliyan
685,58,Gedangsari
686,58,Saptosari
687,57,Berbah
688,58,Nglipar
689,57,Seyegan
690,58,Semanu
691,57,Kalasan
692,57,Mlati
693,57,Minggir
694,57,Godean
695,58,Tepus
696,57,Moyudan
697,30,Kebasen
698,37,Buluspesantren
699,36,Bawen
700,41,Bawang
701,44,Wonosegoro
702,42,Kedungreja
703,30,Sumbang
704,31,Sawangan
705,33,Klaten Utara
706,31,Candimulyo
707,45,Bojong
708,31,Salam
709,31,Tempuran
710,36,Jambu
711,44,Banyudono
712,30,Purwokerto Selatan
713,37,Poncowarno
714,35,Doro
715,48,Sidorejo
716,35,Kandangserang
717,37,Alian
718,39,Karangawen
719,39,Sayung
720,37,Rowokele
721,43,Candisari
722,37,Sadang
723,32,Songgom
724,35,Petungkriyono
725,48,Sidomukti
726,38,Kaloran
727,48,Tingkir
728,47,Watumalang
729,46,Gubug
730,41,Wanadadi
731,32,Jatibarang
732,43,Tugu
733,44,Selo
734,49,Magelang Selatan
735,49,Magelang Utara
736,47,Mojotengah
737,47,Kertek
738,47,Garung
739,47,Kejajar
740,30,Jatilawang
741,30,Ajibarang
742,30,Karanglewas
743,30,Pekuncen
744,30,Sokaraja
745,30,Kembaran
746,30,Wangon
747,30,Cilongok
748,30,Lumbir
749,30,Gumelar
750,30,Purwojati
751,59,Bawang
752,59,Blado
753,59,Reban
754,59,Bandar
755,59,Tersono
756,59,Wonotunggal
757,59,Limpung
758,59,Pecalungan
759,59,Gringsing
760,59,Subah
761,59,Banyuputih
762,59,Tulis
763,59,Warungasem
764,60,Bodeh
765,60,Belik
766,60,Randudongkal
767,60,Bantarbolang
768,60,Moga
769,60,Pulosari
770,60,Watukumpul
771,60,Warungpring
772,60,Ampelgading
773,47,Selomerto
774,47,Kaliwiro
775,61,Rembang
776,61,Karangjambu
777,58,Girisubo
778,58,Ponjong
779,58,Semin
780,58,Rongkop
781,58,Ngawen
782,62,Bungah
783,63,Gurah
784,64,Bluto
785,64,Pragaan
786,64,Giliginting
787,65,Sampang
788,64,Saronggi
789,66,Jangkar
790,67,Gubeng
791,68,Ajung
792,68,Kalisat
793,69,Palenggaan
794,70,Jogoroto
795,71,Tragah
796,66,Mlandingan
797,71,Modung
798,64,Ra'As
799,71,Blega
800,72,Wongsorejo
801,73,Pujer
802,74,Lekok
803,75,Sugihwaras
804,76,Besuk
805,71,Burneh
806,72,Singojuruh
807,66,Panarukan
808,76,Pakuniran
809,76,Banyuanyar
810,76,Kraksaan
811,66,Sumbermalang
812,76,Paiton
813,77,Poncol
814,72,Rogojampi
815,78,Ranuyoso
816,67,Bubutan
817,74,Kejayan
818,69,Tlanakan
819,69,Pegantenan
820,62,Duduksampeyan
821,68,Ambulu
822,73,Wringin
823,76,Sumberasih
824,71,Kokop
825,68,Wuluhan
826,67,Semampir
827,74,Pasrepan
828,79,Karangploso
829,80,Selorejo
830,68,Tempurejo
831,74,Tutur
832,64,Gapura
833,76,Tiris
834,73,Pakem
835,81,Sukodono
836,65,Camplong
837,65,Omben
838,62,Driyorejo
839,68,Sumbersari
840,65,Pangarengan
841,66,Panji
842,82,Sambeng
843,78,Senduro
844,83,Rejotangan
845,68,Arjasa
846,68,Sukowono
847,66,Arjasa
848,74,Rejoso
849,84,Arjosari
850,84,Pacitan
851,69,Galis
852,74,Kraton
853,67,Asem Rowo
854,66,Asembagus
855,70,Ngusikan
856,65,Jrengik
857,62,Sidayu
858,63,Puncu
859,85,Mojosari
860,71,Labang
861,75,Kedungadem
862,83,Karangrejo
863,80,Wlingi
864,86,Pace
865,86,Patianrowo
866,63,Ngancar
867,87,Babadan
868,88,Ngrambe
869,88,Paron
870,88,Pangkur
871,89,Balerejo
872,78,Padang
873,62,Dukun
874,82,Babat
875,67,Pakal
876,82,Deket
877,62,Balongpanggang
878,67,Wiyung
879,82,Pucuk
880,64,Batuan
881,80,Ponggok
882,80,Sutojayan
883,89,Kebon Sari
884,63,Ngadiluwih
885,70,Ngoro
886,70,Sumobito
887,63,Badas
888,69,Pademawu
889,68,Bangsalsari
890,72,Blimbingsari
891,73,Bondowoso
892,87,Badegan
893,89,Dolopo
894,88,Geneng
895,78,Pasirian
896,69,Proppo
897,82,Turi
898,80,Srengat
899,89,Madiun
900,83,Tulungagung
901,68,Puger
902,86,Bagor
903,86,Sukomoro
904,68,Gumukmas
905,71,Tanah Merah
906,80,Talun
907,86,Ngluyu
908,69,Pakong
909,87,Mlarak
910,87,Balong
911,74,Gondangwetan
912,65,Kedungdung
913,86,Loceret
914,89,Saradan
915,69,Waru
916,73,Cermee
917,74,Purwosari
918,85,Gondang
919,75,Tambakrejo
920,75,Kapas
921,90,Bugul Kidul
922,63,Grogol
923,82,Tikung
924,70,Kudu
925,81,Balongbendo
926,82,Sugio
927,64,Guluk-Guluk
928,75,Temayang
929,80,Bakung
930,80,Udanawu
931,75,Kanor
932,72,Glagah
933,89,Sawahan
934,72,Songgon
935,77,Ngariboyo
936,74,Tosari
937,75,Balen
938,80,Panggungrejo
939,83,Kauman
940,77,Kawedanan
941,83,Ngunut
942,86,Prambon
943,86,Lengkong
944,81,Candi
945,75,Kepohbaru
946,81,Krembung
947,86,Gondang
948,63,Kunjang
949,81,Tarik
950,85,Pungging
951,62,Benjeng
952,85,Puri
953,86,Nganjuk
954,86,Berbek
955,85,Gedeg
956,91,Magersari
957,67,Tandes
958,81,Jabon
959,82,Sukodadi
960,85,Trowulan
961,92,Kota
962,77,Karangrejo
963,66,Kendit
964,71,Arosbaya
965,68,Balung
966,93,Tugu
967,86,Kertosono
968,89,Geger
969,75,Malo
970,63,Kandangan
971,87,Pulung
972,92,Pesantren
973,64,Lenteng
974,64,Rubaru
975,64,Dungkek
976,87,Sambit
977,71,Bangkalan
978,75,Ngraho
979,89,Wonoasri
980,84,Bandar
981,77,Sukomoro
982,92,Mojoroto
983,78,Kedungjajang
984,74,Winongan
985,85,Ngoro
986,70,Bandarkedungmulyo
987,73,Prajekan
988,83,Bandung
989,70,Diwek
990,71,Konang
991,75,Ngasem
992,94,Plumpang
993,81,Gedangan
994,85,Dawarblandong
995,88,Kwadungan
996,80,Kanigoro
997,82,Sukorame
998,90,Panggungrejo
999,64,Kota Sumenep
1000,69,Kadur
1001,67,Lakarsantri
1002,82,Glagah
1003,83,Kedungwaru
1004,72,Bangorejo
1005,72,Srono
1006,71,Galis
1007,65,Sreseh
1008,85,Bangsal
1009,63,Kayen Kidul
1010,80,Nglegok
1011,70,Plandaan
1012,93,Munjungan
1013,77,Barat
1014,83,Pakel
1015,94,Soko
1016,87,Sukorejo
1017,88,Karanganyar
1018,88,Kedunggalar
1019,88,Pitu
1020,87,Ponorogo
1021,89,Mejayan
1022,93,Panggul
1023,72,Licin
1024,94,Widang
1025,70,Bareng
1026,94,Rengel
1027,75,Baureno
1028,88,Padas
1029,86,Tanjunganom
1030,63,Kras
1031,81,Tanggulangin
1032,81,Sidoarjo
1033,65,Tambelangan
1034,70,Kabuh
1035,86,Rejoso
1036,89,Dagangan
1037,75,Sumberejo
1038,95,Taman
1039,63,Plemahan
1040,77,Panekan
1041,75,Padangan
1042,82,Kedungpring
1043,82,Karangbinangun
1044,82,Bluluk
1045,74,Lumbang
1046,84,Kebonagung
1047,74,Pandaan
1048,81,Buduran
1049,81,Sedati
1050,82,Karanggeneng
1051,82,Lamongan
1052,75,Bojonegoro
1053,83,Ngantru
1054,85,Jetis
1055,86,Ngronggot
1056,75,Trucuk
1057,62,Manyar
1058,62,Cerme
1059,76,Tegalsiwalan
1060,68,Patrang
1061,78,Lumajang
1062,76,Bantaran
1063,89,Wungu
1064,64,Batang Batang
1065,63,Banyakan
1066,71,Geger
1067,67,Sawahan
1068,71,Kamal
1069,72,Kalibaru
1070,76,Gending
1071,94,Grabagan
1072,88,Widodaren
1073,66,Banyuglugur
1074,66,Banyuputih
1075,78,Jatiroto
1076,78,Randuagung
1077,83,Kalidawir
1078,94,Senori
