id,districtId,name
301,80,Jatisari
302,108,Jatiwangi
303,102,Jatiwaras
304,105,Jayabakti
305,33,Jayabaya
306,91,Jayamandiri
307,108,Jayamekar
308,50,Jayamukti
309,11,Jayamukti
310,30,Jayamukti
311,100,Jayanti
312,6,Jayapura
313,126,Jayaputra
314,116,Jayaraga
315,126,Jayaratu
316,70,Jayasari
317,116,Jayawaras
318,93,Kadaleman
319,93,Kademangan
320,110,Kadipaten
321,105,Kadongdong
322,51,Kadungora
323,106,Kagok
324,43,Kahuripan
325,14,Kalapadua
326,40,Kalapagenep
327,68,Kalibunder
328,44,Kalijati
329,23,Kalimanggis
330,89,Kalipucang
331,23,Kamulyan
332,7,Kancana
333,88,Kandangmukti
334,102,Kaputihan
335,98,Karang Jaya
336,20,Karangagung
337,59,Karanganyar
338,111,Karanganyar
339,48,Karanganyar
340,65,Karangbenda
341,65,Karangjaladri
342,10,Karangjaya
343,98,Karanglayung
344,46,Karangmekar
345,72,Karangmekar
346,121,Karangmukti
347,15,Karangmulya
348,103,Karangmulya
349,80,Karangmulya
350,51,Karangmulya
351,25,Karangmulya
352,46,Karangnunggal
353,127,Karangpanimbal
354,15,Karangpawitan
355,80,Karangpawitan
356,103,Karangresik
357,15,Karangsari
358,34,Karangsari
359,108,Karangsari
360,31,Karangsari
361,29,Karangsari
362,80,Karangsari
363,111,Karangsari
364,103,Karangsembung
365,47,Karangsewu
366,51,Karangtengah
367,33,Karangwangi
368,16,Karikil
369,22,Karyabakti
370,8,Karyajaya
371,128,Karyamandala
372,63,Karyamekar
373,129,Karyamekar
374,130,Karyamukti
375,118,Karyamukti
376,17,Karyamukti
377,74,Karyamukti
378,114,Karyamukti
379,17,Karyasari
380,74,Karyasari
381,128,Karyawangi
382,7,Kasturi
383,128,Kawitan
384,121,Kawungsari
385,15,Kedungwuluh
386,14,Kepuh
387,114,Keresek
388,102,Kersagalih
389,6,Kersamaju
390,113,Kersamanah
391,59,Kersamenak
392,116,Kersamenak
393,26,Kersanagara
394,44,Kersaratu
395,32,Kertaangsana
396,76,Kertaharja
397,52,Kertahayu
398,21,Kertajaya
399,124,Kertajaya
400,114,Kertajaya
401,2,Kertajaya
402,76,Kertamukti
403,99,Kertamukti
404,31,Kertamukti
405,117,Kertamukti
406,96,Kertanegla
407,55,Kertaraharja
408,131,Kertaraharja
409,102,Kertarahayu
410,27,Kertasari
411,35,Kertayasa
412,132,Kiarajangkung
413,130,Kidangpananjung
414,35,Kondangjajar
415,54,Kondangmekar
416,26,Kota Baru
417,79,Kota Kulon
418,79,Kota Wetan
419,78,Kramat Jaya
420,42,Karamatwangi
421,4,Karamatwangi
422,40,Kubangsari
423,132,Kudadepa
424,46,Kujang
425,133,Kujangsari
426,99,Kurniabakti
427,25,Kutanagara
428,121,Kutawaringin
429,52,Lampuyang
430,134,Langensari
431,69,Langensari
432,62,Langkapjaya
433,70,Langkaplancar
434,80,Lebakagung
435,80,Lebakjaya
436,78,Lebakwangi
437,76,Legokjawa
438,88,Leles
439,14,Lemahputih
440,14,Lemahsugih
441,88,Lembang
442,101,Lembur Sawah
443,56,Lembursitu
444,62,Lengkong
445,66,Lengkongbarang
446,6,Lengkongjaya
447,80,Lengkongjaya
448,43,Lengkongsari
449,123,Leuwibudah
450,45,Leuwidulang
451,111,Leuwigoong
452,59,Leuwiliang
453,25,Lewobaru
454,13,Limbangan Barat
455,13,Limbangan Tengah
456,13,Limbangan Timur
457,76,Limusgede
458,115,Linggajati
459,16,Linggajaya
460,66,Linggalaksana
461,31,Linggamanik
462,12,Linggamukti
463,11,Linggamulya
464,123,Linggaraja
465,112,Linggarjati
466,126,Linggasirna
467,11,Linggawangi
468,90,Lingkungpasir
469,2,Loji
470,71,Luyubakti
471,36,Madiasari
472,90,Majasari
473,25,Malangbong
474,85,Malatisuka
475,78,Malausma
476,125,Mancagahar
477,11,Mandalagiri
478,128,Mandalaguna
479,128,Mandalahayu
480,102,Mandalahurip
481,40,Mandalajaya
482,125,Mandalakasih
483,102,Mandalamekar
