id,provinceId,name
411,31,Kota Pematangsiantar
412,31,Serdang Bedagai
413,31,Deli Serdang
414,31,Toba
415,31,Humbang Hasundutan
416,31,Samosir
417,31,Langkat
418,31,Kota Medan
419,31,Kota Binjai
420,31,Pakpak Bharat
421,31,Asahan
422,31,Dairi
423,31,Kota Tebing Tinggi
424,31,Labuhanbatu Utara
425,31,Kota Tanjung Balai
426,27,Sigi
427,27,Morowali Utara
428,27,Tojo Una Una
429,27,Parigi Moutong
430,27,Toli Toli
431,27,Banggai
432,27,Banggai Laut
433,27,Poso
434,27,Donggala
435,27,Banggai Kepulauan
436,27,Buol
437,27,Kota Palu
438,34,Bolaang Mongondow
439,34,Bolaang Mongondow Selatan
440,34,Kepulauan Sangihe
441,34,Minahasa Utara
442,34,Kepulauan Talaud
443,34,Kepulauan Siau Tagulandang Biaro
444,34,Kota Manado
445,34,Minahasa
446,34,Bolaang Mongondow Utara
447,34,Minahasa Tenggara
448,34,Bolaang Mongondow Timur
449,34,Minahasa Selatan
450,29,Kepulauan Anambas
451,35,Pidie Jaya
452,35,Simeulue
453,35,Bireuen
454,35,Aceh Timur
455,35,Aceh Utara
456,35,Pidie
457,35,Aceh Barat Daya
458,35,Gayo Lues
459,35,Aceh Selatan
460,35,Aceh Tamiang
461,35,Aceh Besar
462,35,Aceh Tenggara
463,35,Bener Meriah
464,35,Aceh Jaya
465,35,Kota Lhokseumawe
466,35,Aceh Barat
467,35,Nagan Raya
468,35,Kota Langsa
469,35,Kota Banda Aceh
470,35,Aceh Singkil
471,35,Kota Sabang
472,35,Aceh Tengah
473,35,Kota Subulussalam
474,29,Natuna
475,33,Nunukan
476,33,Bulungan
477,33,Tana Tidung
478,33,Kota Tarakan
479,34,Kota Tomohon
480,34,Kota Kotamobagu
481,34,Kota Bitung
482,36,Halmahera Barat
483,36,Pulau Morotai
484,36,Pulau Taliabu
485,36,Halmahera Selatan
486,36,Halmahera Tengah
487,36,Halmahera Timur
488,36,Kota Tidore Kepulauan
489,36,Halmahera Utara
490,36,Kepulauan Sula
491,37,Raja Ampat
492,36,Kota Ternate
493,26,Sarmi
494,13,Kota Tangerang
495,31,Batu Bara
496,25,Manokwari Selatan
497,25,Manokwari
498,26,Biak Numfor
499,26,Kepulauan Yapen
500,37,Maybrat
501,37,Sorong Selatan
502,25,Pegunungan Arfak
503,37,Tambrauw
504,37,Sorong
505,26,Supiori
506,37,Kota Sorong
507,38,Bone Bolango
508,38,Gorontalo Utara
509,38,Gorontalo
510,38,Boalemo
511,38,Pohuwato
512,38,Kota Gorontalo
513,22,Pasangkayu
514,22,Mamuju Tengah
